ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,alerta_risco
2024-09-01,45979.7124105,40993.4781898824,50901.985059758714,45979.7124105,45979.7124105,0.0,0.0,0.0,0.0,0.0,0.0,45979.7124105,ok
2024-10-01,45160.062359491756,40297.89972548183,50340.06047467368,45160.062359491756,45160.062359491756,0.0,0.0,0.0,0.0,0.0,0.0,45160.062359491756,ok
2024-11-01,44313.09059788283,39490.54397609949,49605.48851803093,44313.09059788283,44313.09059788283,0.0,0.0,0.0,0.0,0.0,0.0,44313.09059788283,ok
2024-12-01,43493.44049174893,38695.23418762131,49065.42750863913,43493.44049174893,43493.44049174893,0.0,0.0,0.0,0.0,0.0,0.0,43493.44049174893,ok
2025-01-01,42646.4687048621,37348.22298637421,47742.097239659444,42646.4687048621,42646.4687048621,0.0,0.0,0.0,0.0,0.0,0.0,42646.4687048621,ok
2025-02-01,41799.496917975266,36753.589972869486,46658.78459701041,41799.496917975266,41799.496917975266,0.0,0.0,0.0,0.0,0.0,0.0,41799.496917975266,risco
2025-02-02,41772.175247430525,36739.58671520571,46658.29089062828,41772.175247430525,41772.175247430525,0.0,0.0,0.0,0.0,0.0,0.0,41772.175247430525,risco
2025-02-03,41744.85357688579,37051.207489126675,46648.705548944854,41744.85357688579,41744.85357688579,0.0,0.0,0.0,0.0,0.0,0.0,41744.85357688579,risco
2025-02-04,41717.53190634106,36509.53641708592,46961.15777288538,41717.53190634106,41717.53190634106,0.0,0.0,0.0,0.0,0.0,0.0,41717.53190634106,risco
2025-02-05,41690.21023579632,36480.9231572869,46951.08429770105,41690.21023579632,41690.21023579632,0.0,0.0,0.0,0.0,0.0,0.0,41690.21023579632,risco
2025-02-06,41662.88856525158,36796.517785856915,46732.25358489123,41662.88856525158,41662.88856525158,0.0,0.0,0.0,0.0,0.0,0.0,41662.88856525158,risco
2025-02-07,41635.56689470684,36707.69816222663,46466.24628800782,41635.56689470684,41635.56689470684,0.0,0.0,0.0,0.0,0.0,0.0,41635.56689470684,risco
